gender,age,sim_history_months,international_roaming_package,operator_cloud_space,night_internet_package,volte_calling_service,superapp_social_network,superapp_financial_services,sim_card_type,operator_app_usage,monthly_cost_toman,total_cost_toman,churn,birth_month_sin,birth_month_cos,gen_2G,gen_3G,gen_4G,gen_5G,Churn_Probability,Top_Churn_Reasons,Risk_Level,Recommended_Action,Campaign_Type,Customer_Priority
1,33.0,49,1,1,-1,1,-1,-1,0,0,8940000,445545000,0,-0.5000000000000004,0.8660254037844384,0,0,1,0,0.1146333833814546,sim_card_type (+0.251) .. gen_2G (+0.227) .. total_cost_toman (+0.22),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
0,41.0,30,1,1,-1,-1,-1,-1,0,1,8295000,229590000,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.3363672746219395,sim_card_type (+0.251) .. gen_2G (+0.227) .. monthly_cost_toman (+0.132),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی,Conditional_Discount_Only_With_Value,Normal
1,26.0,47,-1,1,-1,-1,1,1,0,1,14902500,712372500,1,0.4999999999999999,0.8660254037844387,0,0,0,1,0.7510091527479793,total_cost_toman (+0.66) .. Churn_Probability (+0.476) .. gen_5G (+0.424),High Risk,برنامه وفادارسازی عمومی,General Loyalty,Very High
1,45.0,1,-1,1,-1,-1,-1,-1,0,0,4530000,4530000,1,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.6879772210254357,sim_history_months (+1.249) .. monthly_cost_toman (+0.449) .. Churn_Probability (+0.374),Medium Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,High
1,33.0,72,1,1,1,1,1,1,1,1,13537500,955417500,0,1.0,6.123233995736766e-17,0,1,0,0,0.0554169708447333,total_cost_toman (+1.06) .. gen_2G (+0.227) .. superapp_financial_services (+0.149),Low Risk,ارائه سرویس دیجیتال رایگان (مثلاً ۱۰ گیگ دیتای خودکار ماهانه) برای HIGH RISK دارای مصرف بالا,Digital_Bundle_Automatic_Topup,Normal
0,36.0,17,-1,-1,-1,-1,1,1,0,1,9705000,163965000,1,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.7455959998115653,sim_history_months (+0.581) .. Churn_Probability (+0.467) .. sim_card_type (+0.251),Medium Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,High
0,33.0,71,1,1,1,1,-1,-1,1,1,14452500,1015042500,0,0.8660254037844387,-0.4999999999999998,0,0,0,1,0.0910218294830247,total_cost_toman (+1.158) .. gen_5G (+0.424) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
1,62.0,2,-1,-1,1,-1,1,1,0,1,14325000,27247500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.9133296148481386,sim_history_months (+1.207) .. Churn_Probability (+0.738) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Critical
0,40.0,27,1,1,1,1,-1,-1,1,0,9922500,281167500,0,-0.5000000000000004,0.8660254037844384,0,0,1,0,0.0826103674236718,gen_2G (+0.227) .. sim_history_months (+0.164) .. birth_month_cos (+0.065),Low Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Normal
1,27.0,1,0,0,0,0,0,0,0,0,3030000,3030000,0,1.0,6.123233995736766e-17,1,0,0,0,0.3916614892771669,sim_history_months (+1.249) .. monthly_cost_toman (+0.576) .. sim_card_type (+0.251),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Normal
1,50.0,1,-1,-1,-1,-1,-1,-1,0,0,6787500,6787500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0,0.6505686506358089,sim_history_months (+1.249) .. Churn_Probability (+0.314) .. monthly_cost_toman (+0.259),Medium Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,High
0,25.0,72,1,1,-1,1,1,-1,1,0,14985000,1087755000,0,0.4999999999999999,0.8660254037844387,0,0,0,1,0.0954792133354651,total_cost_toman (+1.278) .. gen_5G (+0.424) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
1,43.0,5,-1,-1,-1,-1,-1,-1,0,1,10455000,47535000,1,0.4999999999999999,0.8660254037844387,0,0,0,1,0.8555993456489902,sim_history_months (+1.082) .. Churn_Probability (+0.645) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
0,18.0,46,-1,-1,1,-1,-1,-1,0,1,11220000,532245000,0,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.604591759557134,gen_5G (+0.424) .. total_cost_toman (+0.363) .. sim_card_type (+0.251),Medium Risk,برنامه وفادارسازی عمومی,General Loyalty,High
1,24.0,34,-1,1,1,-1,1,1,0,1,15952500,532387500,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.7874671971000003,Churn_Probability (+0.535) .. gen_5G (+0.424) .. total_cost_toman (+0.363),High Risk,برنامه وفادارسازی عمومی,General Loyalty,Very High
0,42.0,11,-1,-1,1,-1,1,1,0,1,14677500,165810000,1,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.8888197894012031,sim_history_months (+0.832) .. Churn_Probability (+0.698) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
1,49.0,10,-1,1,-1,-1,-1,-1,1,0,7432500,71355000,0,0.0,1.0,0,0,1,0,0.3025170301544737,sim_history_months (+0.873) .. gen_2G (+0.227) .. monthly_cost_toman (+0.205),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Normal
0,42.0,70,1,1,-1,-1,1,-1,1,1,10380000,730852500,0,0.8660254037844386,0.5000000000000001,0,1,0,0,0.0547478346116524,total_cost_toman (+0.69) .. gen_2G (+0.227) .. superapp_social_network (+0.132),Low Risk,ارائه سرویس دیجیتال رایگان (مثلاً ۱۰ گیگ دیتای خودکار ماهانه) برای HIGH RISK دارای مصرف بالا,Digital_Bundle_Automatic_Topup,Normal
0,39.0,17,0,0,0,0,0,0,1,0,3112500,62737500,0,-1.0,-1.8369701987210287e-16,1,0,0,0,0.0991113918723179,sim_history_months (+0.581) .. monthly_cost_toman (+0.569) .. birth_month_sin (+0.048),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Normal
0,36.0,63,1,1,1,1,1,-1,1,1,11977500,729217500,0,-1.0,-1.8369701987210287e-16,0,0,1,0,0.0534100822653637,total_cost_toman (+0.687) .. gen_2G (+0.227) .. superapp_social_network (+0.132),Low Risk,ارائه سرویس دیجیتال رایگان (مثلاً ۱۰ گیگ دیتای خودکار ماهانه) برای HIGH RISK دارای مصرف بالا,Digital_Bundle_Automatic_Topup,Normal
0,22.0,13,1,1,-1,1,1,-1,0,1,11430000,147217500,0,1.0,6.123233995736766e-17,0,1,0,0,0.3843268557900249,sim_history_months (+0.748) .. sim_card_type (+0.251) .. gen_2G (+0.227),Low Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Normal
0,31.0,49,-1,-1,-1,-1,-1,1,0,1,12675000,586005000,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.6652140628779798,total_cost_toman (+0.452) .. gen_5G (+0.424) .. Churn_Probability (+0.338),Medium Risk,برنامه وفادارسازی عمومی,General Loyalty,High
1,34.0,2,-1,1,-1,-1,-1,-1,0,0,7387500,14550000,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.6144162623842099,sim_history_months (+1.207) .. Churn_Probability (+0.256) .. sim_card_type (+0.251),Medium Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,High
0,53.0,2,-1,-1,-1,-1,1,-1,0,1,12097500,21622500,1,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.8891523059483333,sim_history_months (+1.207) .. Churn_Probability (+0.699) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
1,44.0,52,1,-1,-1,1,1,1,1,1,11962500,632670000,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0,0.1236795639311493,total_cost_toman (+0.528) .. gen_2G (+0.227) .. superapp_financial_services (+0.149),Low Risk,ارائه سرویس دیجیتال رایگان (مثلاً ۱۰ گیگ دیتای خودکار ماهانه) برای HIGH RISK دارای مصرف بالا,Digital_Bundle_Automatic_Topup,Normal
0,19.0,69,1,-1,1,1,-1,-1,1,1,9622500,638115000,0,0.4999999999999999,0.8660254037844387,0,1,0,0,0.0284233573916771,total_cost_toman (+0.537) .. gen_2G (+0.227) .. operator_app_usage (+0.11),Low Risk,اعطای پاداش نصب اپلیکیشن به صورت امتیاز عضویت در باشگاه قهرمانان (LOW RISK),App_Engagement_Heroes_Points,Normal
0,44.0,43,-1,1,-1,-1,1,-1,0,1,13537500,575812500,0,0.0,1.0,0,0,0,1,0.6756113724952238,total_cost_toman (+0.435) .. gen_5G (+0.424) .. Churn_Probability (+0.354),Medium Risk,برنامه وفادارسازی عمومی,General Loyalty,High
0,35.0,15,1,1,-1,-1,1,1,0,1,14865000,213960000,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.7998526205291036,sim_history_months (+0.665) .. Churn_Probability (+0.555) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
0,32.0,25,1,-1,-1,1,1,-1,0,1,10425000,262897500,0,1.2246467991473532e-16,-1.0,0,0,1,0,0.3754583602200113,sim_card_type (+0.251) .. sim_history_months (+0.247) .. gen_2G (+0.227),Low Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Normal
0,47.0,8,-1,1,-1,-1,-1,-1,0,1,12097500,94995000,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0.8034933030607527,sim_history_months (+0.957) .. Churn_Probability (+0.561) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
0,52.0,60,1,1,1,1,-1,1,1,1,11227500,668452500,0,0.0,1.0,0,1,0,0,0.0520958775332702,total_cost_toman (+0.587) .. gen_2G (+0.227) .. superapp_financial_services (+0.149),Low Risk,ارائه سرویس دیجیتال رایگان (مثلاً ۱۰ گیگ دیتای خودکار ماهانه) برای HIGH RISK دارای مصرف بالا,Digital_Bundle_Automatic_Topup,Normal
1,51.0,18,-1,-1,-1,-1,1,1,0,1,14317500,262882500,1,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.8694088951909577,Churn_Probability (+0.667) .. sim_history_months (+0.54) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
0,30.0,63,1,-1,-1,-1,1,1,1,1,14947500,946680000,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.3276343722263533,total_cost_toman (+1.046) .. gen_5G (+0.424) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
1,36.0,66,-1,1,1,1,1,1,1,1,16267500,1061452500,0,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.2937516441474513,total_cost_toman (+1.235) .. gen_5G (+0.424) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
0,44.0,34,0,0,0,0,0,0,1,0,3742500,134145000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0.0495996591523518,monthly_cost_toman (+0.515) .. birth_month_sin (+0.042) .. birth_month_cos (+0.038),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی,Conditional_Discount_Only_With_Value,Normal
0,52.0,72,-1,-1,1,1,1,1,1,1,16125000,1178055000,0,0.4999999999999999,0.8660254037844387,0,0,0,1,0.289342087571335,total_cost_toman (+1.427) .. gen_5G (+0.424) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
0,34.0,47,-1,-1,1,-1,1,1,0,1,15075000,706065000,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.7480944230275963,total_cost_toman (+0.649) .. Churn_Probability (+0.471) .. gen_5G (+0.424),Medium Risk,برنامه وفادارسازی عمومی,General Loyalty,High
1,38.0,60,-1,1,-1,-1,1,-1,0,1,13485000,817605000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0.5747911724853922,total_cost_toman (+0.833) .. gen_5G (+0.424) .. sim_card_type (+0.251),Medium Risk,برنامه وفادارسازی عمومی,General Loyalty,High
1,27.0,72,1,1,1,-1,-1,-1,1,0,6315000,444300000,0,0.4999999999999999,0.8660254037844387,0,0,1,0,0.030825873655771,monthly_cost_toman (+0.299) .. gen_2G (+0.227) .. total_cost_toman (+0.218),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی,Conditional_Discount_Only_With_Value,Normal
0,26.0,18,-1,-1,1,1,-1,-1,1,1,8160000,143565000,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.2463271945508379,sim_history_months (+0.54) .. gen_2G (+0.227) .. monthly_cost_toman (+0.143),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Normal
0,50.0,9,-1,-1,-1,-1,1,1,0,0,14160000,128587500,1,0.8660254037844387,-0.4999999999999998,0,0,0,1,0.8511259171792198,sim_history_months (+0.915) .. Churn_Probability (+0.637) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
0,56.0,3,-1,1,-1,1,1,1,0,1,11295000,36615000,0,0.8660254037844386,0.5000000000000001,0,0,1,0,0.7154055737119318,sim_history_months (+1.166) .. Churn_Probability (+0.419) .. sim_card_type (+0.251),Medium Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,High
1,39.0,47,-1,1,-1,-1,-1,-1,1,1,11835000,547552500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.3143275640814778,gen_5G (+0.424) .. total_cost_toman (+0.388) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
