gender,age,sim_history_months,international_roaming_package,operator_cloud_space,night_internet_package,volte_calling_service,superapp_social_network,superapp_financial_services,sim_card_type,operator_app_usage,monthly_cost_toman,total_cost_toman,churn,birth_month_sin,birth_month_cos,gen_2G,gen_3G,gen_4G,gen_5G,Churn_Probability
1,37.0,12,0,0,0,0,0,0,1,0,2970000,30337500,0,-1.0,-1.8369701987210294e-16,1,0,0,0,0.12225172979712277
1,41.0,1,0,0,0,0,0,0,0,0,3022500,3022500,1,1.2246467991473532e-16,-1.0,1,0,0,0,0.379974396038336
0,23.0,58,-1,1,-1,1,-1,-1,1,1,8985000,525765000,0,0.8660254037844386,0.5000000000000001,0,0,1,0,0.0698021265289117
1,33.0,49,1,1,-1,1,-1,-1,0,0,8940000,445545000,0,-0.5000000000000004,0.8660254037844384,0,0,1,0,0.11463338338145462
0,41.0,30,1,1,-1,-1,-1,-1,0,1,8295000,229590000,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.33636727462193955
1,26.0,47,-1,1,-1,-1,1,1,0,1,14902500,712372500,1,0.4999999999999999,0.8660254037844387,0,0,0,1,0.7510091527479793
1,45.0,1,-1,1,-1,-1,-1,-1,0,0,4530000,4530000,1,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.6879772210254357
1,33.0,72,1,1,1,1,1,1,1,1,13537500,955417500,0,1.0,6.123233995736766e-17,0,1,0,0,0.05541697084473336
0,36.0,17,-1,-1,-1,-1,1,1,0,1,9705000,163965000,1,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.7455959998115653
0,33.0,71,1,1,1,1,-1,-1,1,1,14452500,1015042500,0,0.8660254037844387,-0.4999999999999998,0,0,0,1,0.09102182948302479
1,62.0,2,-1,-1,1,-1,1,1,0,1,14325000,27247500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.9133296148481386
0,40.0,27,1,1,1,1,-1,-1,1,0,9922500,281167500,0,-0.5000000000000004,0.8660254037844384,0,0,1,0,0.0826103674236718
1,27.0,1,0,0,0,0,0,0,0,0,3030000,3030000,0,1.0,6.123233995736766e-17,1,0,0,0,0.39166148927716693
1,50.0,1,-1,-1,-1,-1,-1,-1,0,0,6787500,6787500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0,0.6505686506358089
0,25.0,72,1,1,-1,1,1,-1,1,0,14985000,1087755000,0,0.4999999999999999,0.8660254037844387,0,0,0,1,0.09547921333546515
1,43.0,5,-1,-1,-1,-1,-1,-1,0,1,10455000,47535000,1,0.4999999999999999,0.8660254037844387,0,0,0,1,0.8555993456489902
0,18.0,46,-1,-1,1,-1,-1,-1,0,1,11220000,532245000,0,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.604591759557134
1,24.0,34,-1,1,1,-1,1,1,0,1,15952500,532387500,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.7874671971000003
0,42.0,11,-1,-1,1,-1,1,1,0,1,14677500,165810000,1,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.8888197894012031
1,49.0,10,-1,1,-1,-1,-1,-1,1,0,7432500,71355000,0,0.0,1.0,0,0,1,0,0.30251703015447373
0,42.0,70,1,1,-1,-1,1,-1,1,1,10380000,730852500,0,0.8660254037844386,0.5000000000000001,0,1,0,0,0.05474783461165241
0,39.0,17,0,0,0,0,0,0,1,0,3112500,62737500,0,-1.0,-1.8369701987210294e-16,1,0,0,0,0.09911139187231799
0,36.0,63,1,1,1,1,1,-1,1,1,11977500,729217500,0,-1.0,-1.8369701987210294e-16,0,0,1,0,0.053410082265363784
0,22.0,13,1,1,-1,1,1,-1,0,1,11430000,147217500,0,1.0,6.123233995736766e-17,0,1,0,0,0.3843268557900249
0,31.0,49,-1,-1,-1,-1,-1,1,0,1,12675000,586005000,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.6652140628779798
1,34.0,2,-1,1,-1,-1,-1,-1,0,0,7387500,14550000,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.6144162623842099
0,53.0,2,-1,-1,-1,-1,1,-1,0,1,12097500,21622500,1,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.8891523059483333
1,44.0,52,1,-1,-1,1,1,1,1,1,11962500,632670000,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0,0.12367956393114936
0,19.0,69,1,-1,1,1,-1,-1,1,1,9622500,638115000,0,0.4999999999999999,0.8660254037844387,0,1,0,0,0.028423357391677125
0,44.0,43,-1,1,-1,-1,1,-1,0,1,13537500,575812500,0,0.0,1.0,0,0,0,1,0.6756113724952238
0,35.0,15,1,1,-1,-1,1,1,0,1,14865000,213960000,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.7998526205291036
0,32.0,25,1,-1,-1,1,1,-1,0,1,10425000,262897500,0,1.2246467991473532e-16,-1.0,0,0,1,0,0.37545836022001133
0,47.0,8,-1,1,-1,-1,-1,-1,0,1,12097500,94995000,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0.8034933030607527
0,52.0,60,1,1,1,1,-1,1,1,1,11227500,668452500,0,0.0,1.0,0,1,0,0,0.05209587753327024
1,51.0,18,-1,-1,-1,-1,1,1,0,1,14317500,262882500,1,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.8694088951909577
0,30.0,63,1,-1,-1,-1,1,1,1,1,14947500,946680000,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.32763437222635333
1,36.0,66,-1,1,1,1,1,1,1,1,16267500,1061452500,0,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.29375164414745136
0,44.0,34,0,0,0,0,0,0,1,0,3742500,134145000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0.049599659152351885
0,52.0,72,-1,-1,1,1,1,1,1,1,16125000,1178055000,0,0.4999999999999999,0.8660254037844387,0,0,0,1,0.28934208757133506
0,34.0,47,-1,-1,1,-1,1,1,0,1,15075000,706065000,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.7480944230275963
1,38.0,60,-1,1,-1,-1,1,-1,0,1,13485000,817605000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0.5747911724853922
1,27.0,72,1,1,1,-1,-1,-1,1,0,6315000,444300000,0,0.4999999999999999,0.8660254037844387,0,0,1,0,0.030825873655771004
0,26.0,18,-1,-1,1,1,-1,-1,1,1,8160000,143565000,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.24632719455083799
0,50.0,9,-1,-1,-1,-1,1,1,0,0,14160000,128587500,1,0.8660254037844387,-0.4999999999999998,0,0,0,1,0.8511259171792198
0,56.0,3,-1,1,-1,1,1,1,0,1,11295000,36615000,0,0.8660254037844386,0.5000000000000001,0,0,1,0,0.7154055737119318
1,39.0,47,-1,1,-1,-1,-1,-1,1,1,11835000,547552500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.31432756408147783
0,52.0,31,-1,1,1,1,1,1,1,0,11880000,374580000,0,-0.5000000000000004,0.8660254037844384,0,1,0,0,0.16932770306890524
0,44.0,50,0,0,0,0,0,0,1,0,3022500,139635000,0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0.026679488133672553
1,32.0,10,1,-1,1,-1,-1,-1,0,1,11977500,133102500,0,1.0,6.123233995736766e-17,0,0,0,1,0.7506007877490433
1,44.0,1,-1,-1,-1,1,-1,-1,0,0,7357500,7357500,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.550280259973454
0,58.0,52,0,0,0,0,0,0,1,1,3060000,163597500,0,0.0,1.0,1,0,0,0,0.03656245159099997
1,40.0,64,1,-1,1,1,1,1,1,1,16740000,1064850000,0,-1.0,-1.8369701987210294e-16,0,0,0,1,0.23767954237924144
1,59.0,62,0,0,0,0,0,0,1,1,3637500,213690000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0.02369215267522579
0,18.0,3,1,-1,-1,1,-1,1,0,1,9675000,26610000,0,1.0,6.123233995736766e-17,0,0,1,0,0.5846138013990483
0,50.0,56,1,1,1,-1,1,1,1,0,16575000,920925000,0,1.2246467991473532e-16,-1.0,0,0,0,1,0.24493985496191165
0,41.0,46,-1,-1,-1,-1,-1,1,1,0,8347500,403327500,0,1.0,6.123233995736766e-17,0,0,1,0,0.1635312898550866
0,36.0,8,1,1,-1,-1,-1,-1,0,0,8197500,72337500,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.43658922961392427
1,41.0,30,1,1,-1,-1,1,1,0,1,11212500,316695000,0,-0.8660254037844386,0.5000000000000001,0,0,1,0,0.5132099496610655
0,18.0,45,0,0,0,0,0,0,1,1,3885000,182490000,0,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0.04634632195319845
0,37.0,1,-1,-1,-1,-1,1,-1,0,1,11902500,11902500,1,1.2246467991473532e-16,-1.0,0,0,0,1,0.8920161392602629
0,44.0,11,1,-1,-1,-1,1,1,0,0,7582500,84802500,0,1.0,6.123233995736766e-17,0,0,1,0,0.6606208329283623
0,58.0,7,-1,-1,1,-1,-1,-1,0,1,11272500,74535000,1,-1.0,-1.8369701987210294e-16,0,0,0,1,0.8276049823658238
0,34.0,42,-1,1,1,1,1,1,0,1,15570000,649125000,0,0.0,1.0,0,0,0,1,0.6842048326803769
0,30.0,49,0,0,0,0,0,0,1,1,3022500,146002500,0,0.8660254037844387,-0.4999999999999998,1,0,0,0,0.04099164577780038
1,34.0,9,-1,1,-1,-1,1,1,0,1,14895000,137812500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.8856106993892575
0,51.0,35,1,-1,-1,-1,1,-1,1,1,9322500,332317500,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.19732822708125827
0,44.0,48,0,0,0,0,0,0,1,0,3097500,158550000,0,0.4999999999999999,-0.8660254037844387,1,0,0,0,0.02891154806726071
0,34.0,46,0,0,0,0,0,0,1,1,2992500,139065000,0,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0.04518471161441046
1,46.0,29,-1,-1,-1,-1,1,-1,0,0,5062500,151387500,0,1.2246467991473532e-16,-1.0,0,0,1,0,0.5356186109923202
1,41.0,30,-1,1,1,-1,-1,-1,0,0,12307500,385530000,0,1.2246467991473532e-16,-1.0,0,0,0,1,0.5955307335634221
1,52.0,1,-1,-1,-1,1,-1,-1,0,0,11205000,11205000,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.7412610559733531
1,32.0,66,1,-1,1,1,1,1,1,1,12600000,857137500,0,-0.8660254037844386,0.5000000000000001,0,0,1,0,0.0903440877517894
0,36.0,65,1,1,1,-1,1,1,0,1,16657500,1066050000,0,0.8660254037844387,-0.4999999999999998,0,0,0,1,0.526781661308592
1,35.0,72,-1,1,1,-1,1,1,1,1,15135000,1118857500,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.3686830787770849
0,22.0,12,1,-1,-1,-1,-1,-1,0,1,11842500,139102500,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.7209765197575231
1,44.0,71,1,1,-1,1,-1,-1,1,1,10027500,712305000,0,0.4999999999999999,0.8660254037844387,0,0,1,0,0.030982463645623407
1,43.0,5,0,0,0,0,0,0,0,0,3157500,17077500,1,-0.8660254037844386,0.5000000000000001,1,0,0,0,0.34367522270195056
1,40.0,52,0,0,0,0,0,0,1,0,3150000,166080000,0,1.2246467991473532e-16,-1.0,1,0,0,0,0.024875441640645386
0,37.0,25,-1,1,1,-1,1,1,0,1,14775000,377175000,1,-0.8660254037844386,0.5000000000000001,0,0,0,1,0.8347598713281105
1,23.0,1,0,0,0,0,0,0,0,0,3030000,3030000,0,1.2246467991473532e-16,-1.0,1,0,0,0,0.38358435399557367
0,35.0,1,0,0,0,0,0,0,0,0,2917500,2917500,0,0.0,1.0,1,0,0,0,0.38761333097401585
1,36.0,38,-1,-1,1,1,1,-1,1,0,14250000,540840000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0.3014402064636588
0,30.0,66,-1,1,1,-1,1,-1,1,0,6832500,454087500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0,0.07900183760432465
1,38.0,68,-1,1,1,1,1,1,1,1,16500000,1141777500,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0.3001176266462703
1,45.0,5,-1,-1,-1,-1,-1,-1,0,0,3645000,15030000,0,1.0,6.123233995736766e-17,0,0,1,0,0.6954022424254594
0,63.0,72,1,1,-1,-1,1,1,1,1,15622500,1095457500,0,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.2400609889262707
0,42.0,32,1,-1,-1,-1,-1,-1,1,0,4522500,139147500,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.13747888465187205
1,43.0,43,-1,-1,-1,-1,1,1,1,0,14152500,588195000,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.46020039194650736
1,39.0,72,0,0,0,0,0,0,1,0,2910000,204487500,0,0.8660254037844387,-0.4999999999999998,1,0,0,0,0.011072826584144085
1,18.0,55,1,1,-1,-1,1,-1,0,1,14512500,785835000,1,1.0,6.123233995736766e-17,0,0,0,1,0.49850219000947904
0,40.0,52,1,-1,1,1,-1,-1,1,0,8692500,456337500,0,-0.4999999999999997,-0.8660254037844388,0,1,0,0,0.03345719260192274
0,41.0,43,-1,1,1,-1,1,-1,0,1,13747500,593115000,0,-1.0,-1.8369701987210294e-16,0,0,0,1,0.6722878472571142
0,70.0,37,-1,-1,-1,-1,-1,-1,0,1,11475000,430222500,1,0.0,1.0,0,0,0,1,0.6593380266972556
0,38.0,64,-1,1,-1,1,1,1,1,1,8190000,513525000,0,0.0,1.0,0,1,0,0,0.10521234262807296
1,44.0,3,1,1,-1,-1,1,-1,0,0,13477500,37260000,0,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.7370651973966206
0,40.0,36,1,-1,-1,-1,-1,-1,1,0,4657500,168952500,0,-1.0,-1.8369701987210294e-16,0,0,1,0,0.11859203137747178
0,26.0,10,1,-1,-1,-1,1,1,0,1,15037500,159697500,1,1.2246467991473532e-16,-1.0,0,0,0,1,0.8346999924132812
0,54.0,41,0,0,0,0,0,0,1,0,3097500,125272500,0,1.2246467991473532e-16,-1.0,1,0,0,0,0.03715016316550767
1,49.0,27,-1,1,-1,1,-1,-1,0,1,12780000,322740000,0,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.5952459842314899
0,49.0,56,-1,-1,1,-1,1,1,1,1,14970000,827317500,0,1.2246467991473532e-16,-1.0,0,0,0,1,0.452027448206501
0,29.0,6,0,0,0,0,0,0,0,0,3105000,16912500,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0.3300851507531849
1,57.0,3,-1,-1,-1,-1,-1,-1,0,1,11160000,34432500,1,0.8660254037844387,-0.4999999999999998,0,0,0,1,0.8505026582016021
0,23.0,7,1,-1,-1,-1,-1,-1,0,0,7605000,52552500,0,-0.8660254037844386,0.5000000000000001,0,0,1,0,0.4808406145951638
0,47.0,4,0,0,0,0,0,0,0,0,3127500,9435000,0,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0.3380392805192221
1,66.0,33,1,-1,-1,1,1,-1,1,1,13342500,454147500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.3339856722125738
0,28.0,27,-1,-1,1,-1,-1,-1,0,1,11707500,320325000,1,1.0,6.123233995736766e-17,0,0,0,1,0.7293249056296007
1,33.0,72,0,0,0,0,0,0,1,1,3532500,258592500,0,-1.0,-1.8369701987210294e-16,1,0,0,0,0.01631547793739433
1,41.0,1,0,0,0,0,0,0,0,0,2962500,2962500,0,0.8660254037844386,0.5000000000000001,1,0,0,0,0.392809597178835
1,34.0,71,1,1,-1,-1,1,1,1,1,8467500,597802500,0,1.0,6.123233995736766e-17,0,0,1,0,0.10187329463851882
0,21.0,13,-1,-1,-1,-1,-1,1,0,1,12892500,182347500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.8497187846576777
0,41.0,25,1,1,1,-1,1,1,0,1,8790000,225397500,1,-0.4999999999999997,-0.8660254037844388,0,1,0,0,0.539376176108495
1,27.0,67,-1,-1,-1,1,-1,-1,1,0,7582500,489015000,0,0.4999999999999999,0.8660254037844387,0,1,0,0,0.03237928454573226
1,46.0,1,-1,-1,-1,-1,-1,1,0,1,5317500,5317500,1,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.837745824690573
1,29.0,2,-1,-1,-1,-1,-1,-1,0,0,6652500,12187500,1,-1.0,-1.8369701987210294e-16,0,1,0,0,0.6026120622336542
0,59.0,43,0,0,0,0,0,0,1,1,3855000,178230000,0,1.0,6.123233995736766e-17,1,0,0,0,0.05070191628731184
0,31.0,23,1,-1,-1,-1,-1,-1,0,1,11250000,266775000,0,0.0,1.0,0,0,0,1,0.6733571089093179
0,36.0,64,0,0,0,0,0,0,1,0,3030000,191662500,0,1.2246467991473532e-16,-1.0,1,0,0,0,0.01469730654586775
1,50.0,57,0,0,0,0,0,0,1,1,2940000,175582500,0,0.8660254037844386,0.5000000000000001,1,0,0,0,0.031225273394504868
0,25.0,1,-1,-1,-1,-1,-1,-1,0,1,10567500,10567500,1,1.0,6.123233995736766e-17,0,0,0,1,0.8665570721300155
0,43.0,72,1,1,1,1,1,1,1,1,13207500,963847500,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.06718158643281286
0,56.0,8,1,-1,-1,1,-1,1,0,0,10672500,84547500,1,-0.8660254037844386,0.5000000000000001,0,0,1,0,0.4126300364885164
0,21.0,61,-1,1,-1,-1,1,1,1,1,15157500,895687500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.39511249496871986
1,42.0,64,1,1,-1,-1,-1,-1,1,1,12645000,793357500,0,-1.0,-1.8369701987210294e-16,0,0,0,1,0.1516907635133581
1,43.0,71,0,0,0,0,0,0,1,0,3592500,263430000,0,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0.011397418576739388
0,49.0,65,1,1,-1,1,1,-1,1,1,14857500,962505000,0,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.1471985366063086
1,25.0,3,0,0,0,0,0,0,1,0,2940000,9202500,0,0.8660254037844386,0.5000000000000001,1,0,0,0,0.17762440484709066
1,24.0,1,-1,-1,-1,-1,-1,-1,0,1,6847500,6847500,1,-0.4999999999999997,-0.8660254037844388,0,0,1,0,0.7368627114901009
1,46.0,30,-1,1,1,-1,1,-1,1,0,9675000,289492500,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.2166031942664274
1,44.0,15,-1,1,1,1,-1,1,0,1,10425000,160710000,0,-1.0,-1.8369701987210294e-16,0,1,0,0,0.5030332565350953
0,43.0,8,-1,-1,-1,1,1,1,0,1,10282500,84652500,0,0.0,1.0,0,0,1,0,0.7231850583870393
1,44.0,7,-1,-1,-1,-1,1,1,0,0,14250000,98325000,1,-1.0,-1.8369701987210294e-16,0,0,0,1,0.8592704028546552
0,32.0,70,1,1,1,-1,1,1,1,1,16222500,1189582500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.27764326401796674
1,43.0,62,1,1,1,1,1,1,1,0,12915000,782287500,0,1.2246467991473532e-16,-1.0,0,0,1,0,0.058888844846119774
0,44.0,6,0,0,0,0,0,0,0,0,2955000,17025000,0,0.8660254037844386,0.5000000000000001,1,0,0,0,0.3358391363919036
0,31.0,14,-1,-1,-1,-1,-1,1,0,1,12135000,172920000,0,0.0,1.0,0,0,0,1,0.8571729164143402
0,62.0,22,-1,-1,-1,-1,1,-1,0,1,12622500,273292500,0,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.8042542149932783
1,46.0,22,0,0,0,0,0,0,1,0,3022500,62985000,0,1.0,6.123233995736766e-17,1,0,0,0,0.08502015850916464
1,26.0,16,1,-1,1,-1,1,-1,1,0,9637500,153600000,0,-0.8660254037844386,0.5000000000000001,0,1,0,0,0.2082351953513243
1,48.0,10,0,0,0,0,0,0,1,0,3855000,37740000,0,0.8660254037844386,0.5000000000000001,1,0,0,0,0.12624734049627187
0,28.0,13,1,1,-1,-1,-1,-1,0,1,8400000,114682500,0,1.0,6.123233995736766e-17,0,0,1,0,0.49074196440922996
0,49.0,20,1,-1,-1,-1,-1,-1,0,0,12360000,238852500,1,1.2246467991473532e-16,-1.0,0,0,0,1,0.5623318506848187
0,54.0,2,-1,-1,-1,-1,-1,-1,0,1,10455000,20280000,0,0.8660254037844387,-0.4999999999999998,0,0,0,1,0.8593770408236178
1,30.0,53,-1,1,1,1,-1,1,1,1,11085000,593737500,0,0.4999999999999999,0.8660254037844387,0,0,1,0,0.1213912416236815
0,52.0,11,0,0,0,0,0,0,1,0,3090000,35085000,0,1.0,6.123233995736766e-17,1,0,0,0,0.12456807123354927
1,45.0,69,0,0,0,0,0,0,1,0,2985000,204517500,0,0.4999999999999999,0.8660254037844387,1,0,0,0,0.01289067561175194
0,50.0,4,-1,-1,-1,-1,-1,-1,0,1,10635000,40950000,1,0.8660254037844387,-0.4999999999999998,0,0,0,1,0.8495029517888929
1,63.0,72,1,1,1,1,1,1,1,1,13357500,938167500,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0,0.06349551343237564
1,37.0,58,-1,1,1,-1,-1,1,0,1,6795000,397680000,1,-0.8660254037844385,-0.5000000000000004,0,1,0,0,0.29063656206457084
0,31.0,16,0,0,0,0,0,0,0,0,3060000,48210000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0.24513326047771364
1,29.0,43,1,-1,1,1,-1,-1,1,1,12637500,530887500,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.20748127406282726
0,30.0,2,-1,-1,1,1,1,1,0,1,15660000,36420000,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0.8645118227991678
1,39.0,14,-1,1,1,1,1,1,1,0,12292500,177262500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0,0.2880706931535597
0,44.0,53,-1,-1,1,-1,1,1,1,1,14227500,750030000,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0.4924989122429761
0,43.0,32,0,0,0,0,0,0,1,0,3082500,98182500,0,0.4999999999999999,0.8660254037844387,1,0,0,0,0.05666305556599535
0,50.0,34,0,0,0,0,0,0,0,0,3705000,117030000,0,0.8660254037844386,0.5000000000000001,1,0,0,0,0.12729159706114976
0,40.0,15,-1,-1,-1,-1,-1,-1,0,1,11167500,171855000,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.790558590302573
0,57.0,7,1,-1,-1,-1,-1,-1,0,0,11467500,75540000,1,0.4999999999999999,0.8660254037844387,0,0,0,1,0.6824672481402946
0,37.0,15,-1,1,1,-1,1,1,0,1,15802500,233887500,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0.8551235834986677
1,73.0,61,0,0,0,0,0,0,1,1,3082500,187800000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0.025035944323946555
0,48.0,1,-1,1,-1,-1,-1,-1,0,0,4492500,4492500,1,0.0,1.0,0,1,0,0,0.6420712747129784
0,30.0,1,-1,-1,-1,-1,-1,-1,0,0,6795000,6795000,0,-0.8660254037844386,0.5000000000000001,0,0,1,0,0.6534796644098415
1,27.0,8,-1,-1,-1,-1,-1,1,0,0,12675000,99397500,1,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.8201098704368376
1,46.0,33,1,-1,1,-1,1,1,1,0,11212500,367995000,0,1.0,6.123233995736766e-17,0,1,0,0,0.17675606765001325
0,37.0,13,-1,1,1,-1,-1,-1,0,1,11887500,166747500,1,0.4999999999999999,-0.8660254037844387,0,0,0,1,0.7837175107492562
0,49.0,1,-1,-1,-1,-1,-1,-1,0,1,3720000,3720000,1,0.8660254037844386,0.5000000000000001,0,0,1,0,0.7945890213309214
1,46.0,20,-1,1,-1,-1,-1,-1,0,1,7770000,153577500,0,1.2246467991473532e-16,-1.0,0,1,0,0,0.4853834495061445
1,39.0,3,-1,-1,-1,1,-1,-1,0,0,4560000,12322500,0,0.4999999999999999,0.8660254037844387,0,1,0,0,0.5608430078458987
0,30.0,13,0,0,0,0,0,0,1,0,2947500,36720000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0.11726744039228491
0,22.0,40,-1,1,-1,-1,-1,-1,0,0,8490000,356865000,0,0.4999999999999999,0.8660254037844387,0,1,0,0,0.2443017901125671
1,35.0,43,1,-1,-1,1,-1,1,1,1,10785000,476002500,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.11456861759527724
1,50.0,6,-1,1,1,-1,-1,1,0,1,13650000,79650000,1,-1.0,-1.8369701987210294e-16,0,0,0,1,0.8562216852055423
