gender,age,sim_history_months,international_roaming_package,operator_cloud_space,night_internet_package,volte_calling_service,superapp_social_network,superapp_financial_services,sim_card_type,operator_app_usage,monthly_cost_toman,total_cost_toman,churn,birth_month_sin,birth_month_cos,gen_2G,gen_3G,gen_4G,gen_5G
1,27.0,72,1,1,1,-1,-1,-1,1,0,6315000,444300000,0,0.49999999999999994,0.8660254037844387,0,0,1,0
0,26.0,18,-1,-1,1,1,-1,-1,1,1,8160000,143565000,0,0.49999999999999994,-0.8660254037844387,0,0,1,0
0,50.0,9,-1,-1,-1,-1,1,1,0,0,14160000,128587500,1,0.8660254037844387,-0.4999999999999998,0,0,0,1
0,56.0,3,-1,1,-1,1,1,1,0,1,11295000,36615000,0,0.8660254037844386,0.5000000000000001,0,0,1,0
1,39.0,47,-1,1,-1,-1,-1,-1,1,1,11835000,547552500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
0,52.0,31,-1,1,1,1,1,1,1,0,11880000,374580000,0,-0.5000000000000004,0.8660254037844384,0,1,0,0
0,44.0,50,0,0,0,0,0,0,1,0,3022500,139635000,0,-0.5000000000000004,0.8660254037844384,1,0,0,0
1,32.0,10,1,-1,1,-1,-1,-1,0,1,11977500,133102500,0,1.0,6.123233995736766e-17,0,0,0,1
1,44.0,1,-1,-1,-1,1,-1,-1,0,0,7357500,7357500,0,0.49999999999999994,-0.8660254037844387,0,0,1,0
0,58.0,52,0,0,0,0,0,0,1,1,3060000,163597500,0,0.0,1.0,1,0,0,0
1,40.0,64,1,-1,1,1,1,1,1,1,16740000,1064850000,0,-1.0,-1.8369701987210297e-16,0,0,0,1
1,59.0,62,0,0,0,0,0,0,1,1,3637500,213690000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0
0,18.0,3,1,-1,-1,1,-1,1,0,1,9675000,26610000,0,1.0,6.123233995736766e-17,0,0,1,0
0,50.0,56,1,1,1,-1,1,1,1,0,16575000,920925000,0,1.2246467991473532e-16,-1.0,0,0,0,1
0,41.0,46,-1,-1,-1,-1,-1,1,1,0,8347500,403327500,0,1.0,6.123233995736766e-17,0,0,1,0
0,36.0,8,1,1,-1,-1,-1,-1,0,0,8197500,72337500,0,0.8660254037844387,-0.4999999999999998,0,0,1,0
1,41.0,30,1,1,-1,-1,1,1,0,1,11212500,316695000,0,-0.8660254037844386,0.5000000000000001,0,0,1,0
0,18.0,45,0,0,0,0,0,0,1,1,3885000,182490000,0,-0.4999999999999997,-0.8660254037844388,1,0,0,0
0,37.0,1,-1,-1,-1,-1,1,-1,0,1,11902500,11902500,1,1.2246467991473532e-16,-1.0,0,0,0,1
0,44.0,11,1,-1,-1,-1,1,1,0,0,7582500,84802500,0,1.0,6.123233995736766e-17,0,0,1,0
0,58.0,7,-1,-1,1,-1,-1,-1,0,1,11272500,74535000,1,-1.0,-1.8369701987210297e-16,0,0,0,1
0,34.0,42,-1,1,1,1,1,1,0,1,15570000,649125000,0,0.0,1.0,0,0,0,1
0,30.0,49,0,0,0,0,0,0,1,1,3022500,146002500,0,0.8660254037844387,-0.4999999999999998,1,0,0,0
1,34.0,9,-1,1,-1,-1,1,1,0,1,14895000,137812500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1
0,51.0,35,1,-1,-1,-1,1,-1,1,1,9322500,332317500,0,0.8660254037844387,-0.4999999999999998,0,0,1,0
0,44.0,48,0,0,0,0,0,0,1,0,3097500,158550000,0,0.49999999999999994,-0.8660254037844387,1,0,0,0
0,34.0,46,0,0,0,0,0,0,1,1,2992500,139065000,0,-0.4999999999999997,-0.8660254037844388,1,0,0,0
1,46.0,29,-1,-1,-1,-1,1,-1,0,0,5062500,151387500,0,1.2246467991473532e-16,-1.0,0,0,1,0
1,41.0,30,-1,1,1,-1,-1,-1,0,0,12307500,385530000,0,1.2246467991473532e-16,-1.0,0,0,0,1
1,52.0,1,-1,-1,-1,1,-1,-1,0,0,11205000,11205000,0,0.8660254037844386,0.5000000000000001,0,0,0,1
1,32.0,66,1,-1,1,1,1,1,1,1,12600000,857137500,0,-0.8660254037844386,0.5000000000000001,0,0,1,0
0,36.0,65,1,1,1,-1,1,1,0,1,16657500,1066050000,0,0.8660254037844387,-0.4999999999999998,0,0,0,1
1,35.0,72,-1,1,1,-1,1,1,1,1,15135000,1118857500,0,0.8660254037844386,0.5000000000000001,0,0,0,1
0,22.0,12,1,-1,-1,-1,-1,-1,0,1,11842500,139102500,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1
1,44.0,71,1,1,-1,1,-1,-1,1,1,10027500,712305000,0,0.49999999999999994,0.8660254037844387,0,0,1,0
1,43.0,5,0,0,0,0,0,0,0,0,3157500,17077500,1,-0.8660254037844386,0.5000000000000001,1,0,0,0
1,40.0,52,0,0,0,0,0,0,1,0,3150000,166080000,0,1.2246467991473532e-16,-1.0,1,0,0,0
0,37.0,25,-1,1,1,-1,1,1,0,1,14775000,377175000,1,-0.8660254037844386,0.5000000000000001,0,0,0,1
1,23.0,1,0,0,0,0,0,0,0,0,3030000,3030000,0,1.2246467991473532e-16,-1.0,1,0,0,0
0,35.0,1,0,0,0,0,0,0,0,0,2917500,2917500,0,0.0,1.0,1,0,0,0
1,36.0,38,-1,-1,1,1,1,-1,1,0,14250000,540840000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1
0,30.0,66,-1,1,1,-1,1,-1,1,0,6832500,454087500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0
1,38.0,68,-1,1,1,1,1,1,1,1,16500000,1141777500,1,0.8660254037844386,0.5000000000000001,0,0,0,1
1,45.0,5,-1,-1,-1,-1,-1,-1,0,0,3645000,15030000,0,1.0,6.123233995736766e-17,0,0,1,0
0,63.0,72,1,1,-1,-1,1,1,1,1,15622500,1095457500,0,0.49999999999999994,-0.8660254037844387,0,0,0,1
0,42.0,32,1,-1,-1,-1,-1,-1,1,0,4522500,139147500,0,0.8660254037844387,-0.4999999999999998,0,0,1,0
1,43.0,43,-1,-1,-1,-1,1,1,1,0,14152500,588195000,0,0.8660254037844386,0.5000000000000001,0,0,0,1
1,39.0,72,0,0,0,0,0,0,1,0,2910000,204487500,0,0.8660254037844387,-0.4999999999999998,1,0,0,0
1,18.0,55,1,1,-1,-1,1,-1,0,1,14512500,785835000,1,1.0,6.123233995736766e-17,0,0,0,1
0,40.0,52,1,-1,1,1,-1,-1,1,0,8692500,456337500,0,-0.4999999999999997,-0.8660254037844388,0,1,0,0
0,41.0,43,-1,1,1,-1,1,-1,0,1,13747500,593115000,0,-1.0,-1.8369701987210297e-16,0,0,0,1
0,70.0,37,-1,-1,-1,-1,-1,-1,0,1,11475000,430222500,1,0.0,1.0,0,0,0,1
0,38.0,64,-1,1,-1,1,1,1,1,1,8190000,513525000,0,0.0,1.0,0,1,0,0
1,44.0,3,1,1,-1,-1,1,-1,0,0,13477500,37260000,0,0.49999999999999994,-0.8660254037844387,0,0,0,1
0,40.0,36,1,-1,-1,-1,-1,-1,1,0,4657500,168952500,0,-1.0,-1.8369701987210297e-16,0,0,1,0
0,26.0,10,1,-1,-1,-1,1,1,0,1,15037500,159697500,1,1.2246467991473532e-16,-1.0,0,0,0,1
0,54.0,41,0,0,0,0,0,0,1,0,3097500,125272500,0,1.2246467991473532e-16,-1.0,1,0,0,0
1,49.0,27,-1,1,-1,1,-1,-1,0,1,12780000,322740000,0,0.49999999999999994,-0.8660254037844387,0,0,0,1
0,49.0,56,-1,-1,1,-1,1,1,1,1,14970000,827317500,0,1.2246467991473532e-16,-1.0,0,0,0,1
0,29.0,6,0,0,0,0,0,0,0,0,3105000,16912500,0,-0.8660254037844386,0.5000000000000001,1,0,0,0
1,57.0,3,-1,-1,-1,-1,-1,-1,0,1,11160000,34432500,1,0.8660254037844387,-0.4999999999999998,0,0,0,1
0,23.0,7,1,-1,-1,-1,-1,-1,0,0,7605000,52552500,0,-0.8660254037844386,0.5000000000000001,0,0,1,0
0,47.0,4,0,0,0,0,0,0,0,0,3127500,9435000,0,-0.4999999999999997,-0.8660254037844388,1,0,0,0
1,66.0,33,1,-1,-1,1,1,-1,1,1,13342500,454147500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1
0,28.0,27,-1,-1,1,-1,-1,-1,0,1,11707500,320325000,1,1.0,6.123233995736766e-17,0,0,0,1
1,33.0,72,0,0,0,0,0,0,1,1,3532500,258592500,0,-1.0,-1.8369701987210297e-16,1,0,0,0
1,41.0,1,0,0,0,0,0,0,0,0,2962500,2962500,0,0.8660254037844386,0.5000000000000001,1,0,0,0
1,34.0,71,1,1,-1,-1,1,1,1,1,8467500,597802500,0,1.0,6.123233995736766e-17,0,0,1,0
0,21.0,13,-1,-1,-1,-1,-1,1,0,1,12892500,182347500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
0,41.0,25,1,1,1,-1,1,1,0,1,8790000,225397500,1,-0.4999999999999997,-0.8660254037844388,0,1,0,0
1,27.0,67,-1,-1,-1,1,-1,-1,1,0,7582500,489015000,0,0.49999999999999994,0.8660254037844387,0,1,0,0
1,46.0,1,-1,-1,-1,-1,-1,1,0,1,5317500,5317500,1,0.49999999999999994,-0.8660254037844387,0,0,1,0
1,29.0,2,-1,-1,-1,-1,-1,-1,0,0,6652500,12187500,1,-1.0,-1.8369701987210297e-16,0,1,0,0
0,59.0,43,0,0,0,0,0,0,1,1,3855000,178230000,0,1.0,6.123233995736766e-17,1,0,0,0
0,31.0,23,1,-1,-1,-1,-1,-1,0,1,11250000,266775000,0,0.0,1.0,0,0,0,1
0,36.0,64,0,0,0,0,0,0,1,0,3030000,191662500,0,1.2246467991473532e-16,-1.0,1,0,0,0
1,50.0,57,0,0,0,0,0,0,1,1,2940000,175582500,0,0.8660254037844386,0.5000000000000001,1,0,0,0
0,25.0,1,-1,-1,-1,-1,-1,-1,0,1,10567500,10567500,1,1.0,6.123233995736766e-17,0,0,0,1
0,43.0,72,1,1,1,1,1,1,1,1,13207500,963847500,0,0.8660254037844387,-0.4999999999999998,0,0,1,0
0,56.0,8,1,-1,-1,1,-1,1,0,0,10672500,84547500,1,-0.8660254037844386,0.5000000000000001,0,0,1,0
0,21.0,61,-1,1,-1,-1,1,1,1,1,15157500,895687500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
1,42.0,64,1,1,-1,-1,-1,-1,1,1,12645000,793357500,0,-1.0,-1.8369701987210297e-16,0,0,0,1
1,43.0,71,0,0,0,0,0,0,1,0,3592500,263430000,0,-0.8660254037844385,-0.5000000000000004,1,0,0,0
0,49.0,65,1,1,-1,1,1,-1,1,1,14857500,962505000,0,0.49999999999999994,-0.8660254037844387,0,0,0,1
1,25.0,3,0,0,0,0,0,0,1,0,2940000,9202500,0,0.8660254037844386,0.5000000000000001,1,0,0,0
1,24.0,1,-1,-1,-1,-1,-1,-1,0,1,6847500,6847500,1,-0.4999999999999997,-0.8660254037844388,0,0,1,0
1,46.0,30,-1,1,1,-1,1,-1,1,0,9675000,289492500,0,0.49999999999999994,-0.8660254037844387,0,0,1,0
1,44.0,15,-1,1,1,1,-1,1,0,1,10425000,160710000,0,-1.0,-1.8369701987210297e-16,0,1,0,0
0,43.0,8,-1,-1,-1,1,1,1,0,1,10282500,84652500,0,0.0,1.0,0,0,1,0
1,44.0,7,-1,-1,-1,-1,1,1,0,0,14250000,98325000,1,-1.0,-1.8369701987210297e-16,0,0,0,1
0,32.0,70,1,1,1,-1,1,1,1,1,16222500,1189582500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
1,43.0,62,1,1,1,1,1,1,1,0,12915000,782287500,0,1.2246467991473532e-16,-1.0,0,0,1,0
0,44.0,6,0,0,0,0,0,0,0,0,2955000,17025000,0,0.8660254037844386,0.5000000000000001,1,0,0,0
0,31.0,14,-1,-1,-1,-1,-1,1,0,1,12135000,172920000,0,0.0,1.0,0,0,0,1
0,62.0,22,-1,-1,-1,-1,1,-1,0,1,12622500,273292500,0,0.49999999999999994,-0.8660254037844387,0,0,0,1
1,46.0,22,0,0,0,0,0,0,1,0,3022500,62985000,0,1.0,6.123233995736766e-17,1,0,0,0
1,26.0,16,1,-1,1,-1,1,-1,1,0,9637500,153600000,0,-0.8660254037844386,0.5000000000000001,0,1,0,0
1,48.0,10,0,0,0,0,0,0,1,0,3855000,37740000,0,0.8660254037844386,0.5000000000000001,1,0,0,0
0,28.0,13,1,1,-1,-1,-1,-1,0,1,8400000,114682500,0,1.0,6.123233995736766e-17,0,0,1,0
0,49.0,20,1,-1,-1,-1,-1,-1,0,0,12360000,238852500,1,1.2246467991473532e-16,-1.0,0,0,0,1
0,54.0,2,-1,-1,-1,-1,-1,-1,0,1,10455000,20280000,0,0.8660254037844387,-0.4999999999999998,0,0,0,1
1,30.0,53,-1,1,1,1,-1,1,1,1,11085000,593737500,0,0.49999999999999994,0.8660254037844387,0,0,1,0
0,52.0,11,0,0,0,0,0,0,1,0,3090000,35085000,0,1.0,6.123233995736766e-17,1,0,0,0
1,45.0,69,0,0,0,0,0,0,1,0,2985000,204517500,0,0.49999999999999994,0.8660254037844387,1,0,0,0
0,50.0,4,-1,-1,-1,-1,-1,-1,0,1,10635000,40950000,1,0.8660254037844387,-0.4999999999999998,0,0,0,1
1,63.0,72,1,1,1,1,1,1,1,1,13357500,938167500,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0
1,37.0,58,-1,1,1,-1,-1,1,0,1,6795000,397680000,1,-0.8660254037844385,-0.5000000000000004,0,1,0,0
0,31.0,16,0,0,0,0,0,0,0,0,3060000,48210000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0
1,29.0,43,1,-1,1,1,-1,-1,1,1,12637500,530887500,0,0.8660254037844386,0.5000000000000001,0,0,0,1
0,30.0,2,-1,-1,1,1,1,1,0,1,15660000,36420000,1,0.8660254037844386,0.5000000000000001,0,0,0,1
1,39.0,14,-1,1,1,1,1,1,1,0,12292500,177262500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0
0,44.0,53,-1,-1,1,-1,1,1,1,1,14227500,750030000,1,0.8660254037844386,0.5000000000000001,0,0,0,1
0,43.0,32,0,0,0,0,0,0,1,0,3082500,98182500,0,0.49999999999999994,0.8660254037844387,1,0,0,0
0,50.0,34,0,0,0,0,0,0,0,0,3705000,117030000,0,0.8660254037844386,0.5000000000000001,1,0,0,0
0,40.0,15,-1,-1,-1,-1,-1,-1,0,1,11167500,171855000,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1
0,57.0,7,1,-1,-1,-1,-1,-1,0,0,11467500,75540000,1,0.49999999999999994,0.8660254037844387,0,0,0,1
0,37.0,15,-1,1,1,-1,1,1,0,1,15802500,233887500,0,-0.8660254037844386,0.5000000000000001,0,0,0,1
1,73.0,61,0,0,0,0,0,0,1,1,3082500,187800000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0
0,48.0,1,-1,1,-1,-1,-1,-1,0,0,4492500,4492500,1,0.0,1.0,0,1,0,0
0,30.0,1,-1,-1,-1,-1,-1,-1,0,0,6795000,6795000,0,-0.8660254037844386,0.5000000000000001,0,0,1,0
1,27.0,8,-1,-1,-1,-1,-1,1,0,0,12675000,99397500,1,0.49999999999999994,-0.8660254037844387,0,0,0,1
1,46.0,33,1,-1,1,-1,1,1,1,0,11212500,367995000,0,1.0,6.123233995736766e-17,0,1,0,0
0,37.0,13,-1,1,1,-1,-1,-1,0,1,11887500,166747500,1,0.49999999999999994,-0.8660254037844387,0,0,0,1
0,49.0,1,-1,-1,-1,-1,-1,-1,0,1,3720000,3720000,1,0.8660254037844386,0.5000000000000001,0,0,1,0
1,46.0,20,-1,1,-1,-1,-1,-1,0,1,7770000,153577500,0,1.2246467991473532e-16,-1.0,0,1,0,0
1,39.0,3,-1,-1,-1,1,-1,-1,0,0,4560000,12322500,0,0.49999999999999994,0.8660254037844387,0,1,0,0
0,30.0,13,0,0,0,0,0,0,1,0,2947500,36720000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0
0,22.0,40,-1,1,-1,-1,-1,-1,0,0,8490000,356865000,0,0.49999999999999994,0.8660254037844387,0,1,0,0
1,35.0,43,1,-1,-1,1,-1,1,1,1,10785000,476002500,0,0.49999999999999994,-0.8660254037844387,0,0,1,0
1,50.0,6,-1,1,1,-1,-1,1,0,1,13650000,79650000,1,-1.0,-1.8369701987210297e-16,0,0,0,1
0,43.0,69,0,0,0,0,0,0,1,0,2962500,206310000,0,0.8660254037844386,0.5000000000000001,1,0,0,0
0,25.0,72,1,1,1,-1,1,1,1,0,16455000,1219395000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1
1,42.0,59,0,0,0,0,0,0,1,0,2895000,178905000,0,-0.5000000000000004,0.8660254037844384,1,0,0,0
0,45.0,20,1,1,-1,1,1,-1,0,1,14482500,285247500,0,0.49999999999999994,-0.8660254037844387,0,0,0,1
1,29.0,24,0,0,0,0,0,0,1,1,3615000,88110000,0,1.2246467991473532e-16,-1.0,1,0,0,0
1,42.0,59,-1,1,1,1,1,1,0,1,16702500,977962500,0,0.8660254037844387,-0.4999999999999998,0,0,0,1
1,41.0,72,-1,1,1,1,1,1,1,1,16837500,1206247500,0,1.2246467991473532e-16,-1.0,0,0,0,1
1,26.0,1,0,0,0,0,0,0,0,0,3112500,3112500,0,-0.4999999999999997,-0.8660254037844388,1,0,0,0
0,44.0,27,1,-1,-1,1,1,1,1,1,15285000,402172500,0,-1.0,-1.8369701987210297e-16,0,0,0,1
0,47.0,14,-1,1,-1,1,-1,-1,0,1,12007500,166845000,0,-0.4999999999999997,-0.8660254037844388,0,0,0,1
1,53.0,71,1,-1,1,-1,1,1,1,0,15832500,1110825000,0,1.0,6.123233995736766e-17,0,0,0,1
1,53.0,13,-1,-1,-1,-1,1,-1,0,1,11745000,155092500,0,0.0,1.0,0,0,0,1
1,23.0,44,-1,-1,-1,-1,-1,-1,0,0,10327500,443842500,0,0.8660254037844386,0.5000000000000001,0,0,0,1
0,29.0,33,-1,1,-1,1,-1,-1,1,1,11992500,402727500,0,-0.8660254037844386,0.5000000000000001,0,0,0,1
1,46.0,72,1,1,1,1,-1,1,1,1,8317500,626880000,0,0.49999999999999994,-0.8660254037844387,0,1,0,0
1,46.0,1,-1,-1,-1,-1,-1,1,0,0,11985000,11985000,1,0.49999999999999994,0.8660254037844387,0,0,0,1
0,46.0,19,1,-1,1,1,1,1,0,1,15990000,290167500,1,0.49999999999999994,0.8660254037844387,0,0,0,1
1,75.0,64,-1,1,1,1,1,1,1,1,15367500,998115000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1
1,47.0,2,-1,-1,-1,-1,-1,-1,0,1,6900000,12675000,1,0.0,1.0,0,0,1,0
0,54.0,1,-1,-1,-1,-1,-1,-1,0,0,3787500,3787500,0,1.0,6.123233995736766e-17,0,0,1,0
1,51.0,61,0,0,0,0,0,0,1,0,2962500,168630000,0,1.2246467991473532e-16,-1.0,1,0,0,0
0,48.0,29,0,0,0,0,0,0,1,0,3000000,81007500,0,-0.4999999999999997,-0.8660254037844388,1,0,0,0
1,36.0,23,-1,-1,-1,-1,-1,1,0,0,13020000,296377500,0,1.0,6.123233995736766e-17,0,0,0,1
0,49.0,57,1,1,1,-1,1,1,0,1,8812500,515617500,0,1.2246467991473532e-16,-1.0,0,1,0,0
1,31.0,72,1,1,1,1,-1,-1,1,0,6787500,470970000,0,0.8660254037844387,-0.4999999999999998,0,0,1,0
1,37.0,66,1,1,1,1,1,-1,1,1,8490000,568380000,0,-0.8660254037844386,0.5000000000000001,0,0,1,0
1,34.0,65,-1,1,1,1,1,1,1,1,12630000,798675000,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0
0,41.0,8,-1,-1,-1,-1,1,-1,0,1,12000000,93690000,0,1.2246467991473532e-16,-1.0,0,0,0,1
